threads,nx,nt,iters_cg,iters_newton,timespent
1,64,100,1007,301,0.0372659
1,64,100,1007,301,0.0358762
1,64,100,1007,301,0.0356002
1,64,100,1007,301,0.0479658
1,64,100,1007,301,0.035753
1,64,100,1007,301,0.0482266
1,64,100,1007,301,0.0380107
1,64,100,1007,301,0.048361
1,64,100,1007,301,0.0355277
1,64,100,1007,301,0.0365821
1,64,100,1007,301,0.0369828
1,64,100,1007,301,0.0309742
1,64,100,1007,301,0.0352473
1,64,100,1007,301,0.0353398
1,64,100,1007,301,0.0356998
1,64,100,1007,301,0.0372714
1,64,100,1007,301,0.0373795
1,64,100,1007,301,0.0363191
1,64,100,1007,301,0.035819
1,64,100,1007,301,0.0392006
1,64,100,1007,301,0.04782
1,64,100,1007,301,0.0366372
1,64,100,1007,301,0.0379505
1,64,100,1007,301,0.0372866
1,64,100,1007,301,0.0351321
1,64,100,1007,301,0.0387453
1,64,100,1007,301,0.0372873
1,64,100,1007,301,0.0349847
1,64,100,1007,301,0.0353892
1,64,100,1007,301,0.0372344
1,64,100,1007,301,0.0363461
1,64,100,1007,301,0.0354483
1,64,100,1007,301,0.0361342
1,64,100,1007,301,0.0380057
1,64,100,1007,301,0.0376114
1,64,100,1007,301,0.0357136
1,64,100,1007,301,0.0365288
1,64,100,1007,301,0.0352018
1,64,100,1007,301,0.0350934
1,64,100,1007,301,0.0469826
1,64,100,1007,301,0.0381154
1,64,100,1007,301,0.0370655
1,64,100,1007,301,0.0381817
1,64,100,1007,301,0.0353993
1,64,100,1007,301,0.034935
1,64,100,1007,301,0.0472594
1,64,100,1007,301,0.0376086
1,64,100,1007,301,0.0360065
1,64,100,1007,301,0.0367624
1,64,100,1007,301,0.0367475
2,64,100,1007,301,0.168913
2,64,100,1007,301,0.0584668
2,64,100,1007,301,0.0663524
2,64,100,1007,301,0.0621214
2,64,100,1007,301,0.0628917
2,64,100,1007,301,0.0626141
2,64,100,1007,301,0.0592245
2,64,100,1007,301,0.0609335
2,64,100,1007,301,0.0687368
2,64,100,1007,301,0.0652899
