threads,size,iter,theta,time
1,10000,3000,9998.059926,301.360680
1,10000,3000,9998.059926,297.926646
1,10000,3000,9998.059926,297.044958
1,10000,3000,9998.059926,296.915984
1,10000,3000,9998.059926,296.873867
1,10000,3000,9998.059926,298.077399
1,10000,3000,9998.059926,296.587776
1,10000,3000,9998.059926,296.490500
1,10000,3000,9998.059926,296.975737
1,10000,3000,9998.059926,299.918319
1,10000,3000,9998.059926,297.065639
1,10000,3000,9998.059926,300.297307
1,10000,3000,9998.059926,298.022747
1,10000,3000,9998.059926,297.097086
1,10000,3000,9998.059926,296.791385
1,10000,3000,9998.059926,300.845697
1,10000,3000,9998.059926,296.446193
1,10000,3000,9998.059926,296.398267
1,10000,3000,9998.059926,296.676292
1,10000,3000,9998.059926,296.268997
1,10000,3000,9998.059926,297.533725
1,10000,3000,9998.059926,296.838046
1,10000,3000,9998.059926,296.973773
1,10000,3000,9998.059926,296.663018
1,10000,3000,9998.059926,296.200291
1,10000,3000,9998.059926,297.353188
1,10000,3000,9998.059926,300.250324
1,10000,3000,9998.059926,296.580776
1,10000,3000,9998.059926,296.642917
1,10000,3000,9998.059926,301.251337
1,10000,3000,9998.059926,296.505187
1,10000,3000,9998.059926,296.123477
1,10000,3000,9998.059926,295.470996
1,10000,3000,9998.059926,296.056266
1,10000,3000,9998.059926,295.743937
1,10000,3000,9998.059926,295.551111
1,10000,3000,9998.059926,295.478395
1,10000,3000,9998.059926,296.096556
1,10000,3000,9998.059926,295.856813
1,10000,3000,9998.059926,299.645760
1,10000,3000,9998.059926,296.041223
1,10000,3000,9998.059926,295.614090
1,10000,3000,9998.059926,298.993579
1,10000,3000,9998.059926,297.124253
1,10000,3000,9998.059926,295.674024
1,10000,3000,9998.059926,296.211163
1,10000,3000,9998.059926,295.839540
1,10000,3000,9998.059926,299.070504
1,10000,3000,9998.059926,296.240924
1,10000,3000,9998.059926,295.640433
2,10000,3000,9998.059926,168.899974
2,10000,3000,9998.059926,168.916873
2,10000,3000,9998.059926,168.468186
2,10000,3000,9998.059926,169.488768
2,10000,3000,9998.059926,169.733954
2,10000,3000,9998.059926,168.230393
2,10000,3000,9998.059926,168.108166
2,10000,3000,9998.059926,168.972032
2,10000,3000,9998.059926,168.934759
2,10000,3000,9998.059926,169.373774
2,10000,3000,9998.059926,168.037303
2,10000,3000,9998.059926,168.610714
2,10000,3000,9998.059926,167.696853
2,10000,3000,9998.059926,166.882520
2,10000,3000,9998.059926,170.311389
2,10000,3000,9998.059926,146.438914
2,10000,3000,9998.059926,146.341148
2,10000,3000,9998.059926,146.459836
2,10000,3000,9998.059926,146.312603
2,10000,3000,9998.059926,146.772412
2,10000,3000,9998.059926,148.175783
2,10000,3000,9998.059926,147.655469
2,10000,3000,9998.059926,147.526847
2,10000,3000,9998.059926,147.783835
2,10000,3000,9998.059926,147.527834
2,10000,3000,9998.059926,147.669499
2,10000,3000,9998.059926,148.080515
2,10000,3000,9998.059926,146.912628
2,10000,3000,9998.059926,147.035424
2,10000,3000,9998.059926,147.211063
2,10000,3000,9998.059926,146.863274
2,10000,3000,9998.059926,149.809288
2,10000,3000,9998.059926,147.732255
2,10000,3000,9998.059926,147.137571
2,10000,3000,9998.059926,148.151384
2,10000,3000,9998.059926,148.268162
2,10000,3000,9998.059926,147.990664
2,10000,3000,9998.059926,148.056011
2,10000,3000,9998.059926,148.245774
2,10000,3000,9998.059926,147.945134
2,10000,3000,9998.059926,147.865633
2,10000,3000,9998.059926,148.037643
2,10000,3000,9998.059926,147.529733
2,10000,3000,9998.059926,147.904033
2,10000,3000,9998.059926,148.942728
2,10000,3000,9998.059926,148.250419
2,10000,3000,9998.059926,148.119302
2,10000,3000,9998.059926,148.297266
2,10000,3000,9998.059926,148.238668
2,10000,3000,9998.059926,147.674994
2,10000,3000,9998.059926,148.269696
2,10000,3000,9998.059926,148.162648
2,10000,3000,9998.059926,148.143673
2,10000,3000,9998.059926,152.032837
2,10000,3000,9998.059926,247.852808
2,10000,3000,9998.059926,265.599826
2,10000,3000,9998.059926,245.320174
2,10000,3000,9998.059926,240.188511
2,10000,3000,9998.059926,241.905221
2,10000,3000,9998.059926,238.528683
2,10000,3000,9998.059926,278.210486
2,10000,3000,9998.059926,291.104166
2,10000,3000,9998.059926,294.388799
2,10000,3000,9998.059926,292.279781
2,10000,3000,9998.059926,285.217457
4,10000,3000,9998.059926,146.348014
4,10000,3000,9998.059926,142.330316
4,10000,3000,9998.059926,146.879678
4,10000,3000,9998.059926,145.929461
4,10000,3000,9998.059926,109.330430
4,10000,3000,9998.059926,133.553684
4,10000,3000,9998.059926,105.588828
4,10000,3000,9998.059926,139.198489
4,10000,3000,9998.059926,140.688737
4,10000,3000,9998.059926,137.360550
4,10000,3000,9998.059926,130.765998
4,10000,3000,9998.059926,121.202921
4,10000,3000,9998.059926,117.455290
4,10000,3000,9998.059926,120.491492
4,10000,3000,9998.059926,108.171574
4,10000,3000,9998.059926,120.764438
4,10000,3000,9998.059926,112.406909
4,10000,3000,9998.059926,121.735738
4,10000,3000,9998.059926,113.911656
4,10000,3000,9998.059926,122.717284
4,10000,3000,9998.059926,116.779849
4,10000,3000,9998.059926,122.899012
4,10000,3000,9998.059926,122.980610
4,10000,3000,9998.059926,121.230698
4,10000,3000,9998.059926,91.463139
4,10000,3000,9998.059926,100.848412
4,10000,3000,9998.059926,122.410987
4,10000,3000,9998.059926,117.157437
4,10000,3000,9998.059926,116.402397
4,10000,3000,9998.059926,121.682076
4,10000,3000,9998.059926,116.405565
4,10000,3000,9998.059926,135.320854
4,10000,3000,9998.059926,143.988858
4,10000,3000,9998.059926,152.518332
4,10000,3000,9998.059926,142.052936
4,10000,3000,9998.059926,152.559858
4,10000,3000,9998.059926,150.870122
4,10000,3000,9998.059926,94.483004
4,10000,3000,9998.059926,127.900357
4,10000,3000,9998.059926,139.533233
4,10000,3000,9998.059926,154.181349
4,10000,3000,9998.059926,149.750266
4,10000,3000,9998.059926,133.967628
4,10000,3000,9998.059926,151.637093
4,10000,3000,9998.059926,152.537713
4,10000,3000,9998.059926,140.827450
4,10000,3000,9998.059926,149.861600
4,10000,3000,9998.059926,150.735581
4,10000,3000,9998.059926,146.647030
4,10000,3000,9998.059926,141.725929
8,10000,3000,9998.059926,85.185893
8,10000,3000,9998.059926,79.589934
8,10000,3000,9998.059926,84.847029
8,10000,3000,9998.059926,81.026767
8,10000,3000,9998.059926,72.883033
8,10000,3000,9998.059926,78.069824
8,10000,3000,9998.059926,82.248327
8,10000,3000,9998.059926,80.830723
8,10000,3000,9998.059926,72.888314
8,10000,3000,9998.059926,67.690375
8,10000,3000,9998.059926,74.705578
8,10000,3000,9998.059926,80.031227
8,10000,3000,9998.059926,76.149587
8,10000,3000,9998.059926,80.654700
8,10000,3000,9998.059926,70.851578
8,10000,3000,9998.059926,80.231691
8,10000,3000,9998.059926,77.722768
8,10000,3000,9998.059926,72.857970
8,10000,3000,9998.059926,80.726895
8,10000,3000,9998.059926,82.541152
8,10000,3000,9998.059926,80.412785
8,10000,3000,9998.059926,80.106217
16,10000,3000,9998.059926,30.804432
16,10000,3000,9998.059926,26.841043
16,10000,3000,9998.059926,27.228344
16,10000,3000,9998.059926,27.616309
16,10000,3000,9998.059926,31.943464
16,10000,3000,9998.059926,36.217386
16,10000,3000,9998.059926,27.256057
16,10000,3000,9998.059926,33.334447
16,10000,3000,9998.059926,29.754200
16,10000,3000,9998.059926,36.743004
16,10000,3000,9998.059926,32.736623
16,10000,3000,9998.059926,28.465847
16,10000,3000,9998.059926,25.218014
16,10000,3000,9998.059926,31.678295
16,10000,3000,9998.059926,31.393701
16,10000,3000,9998.059926,29.212387
16,10000,3000,9998.059926,51.550908
16,10000,3000,9998.059926,25.391612
16,10000,3000,9998.059926,26.113582
16,10000,3000,9998.059926,29.606281
16,10000,3000,9998.059926,23.593668
16,10000,3000,9998.059926,28.436858
16,10000,3000,9998.059926,26.011847
16,10000,3000,9998.059926,34.537503
16,10000,3000,9998.059926,49.430366
16,10000,3000,9998.059926,43.260155
16,10000,3000,9998.059926,49.501336
16,10000,3000,9998.059926,40.992151
16,10000,3000,9998.059926,48.809818
16,10000,3000,9998.059926,44.080458
16,10000,3000,9998.059926,48.734090
16,10000,3000,9998.059926,48.824694
16,10000,3000,9998.059926,41.274776
16,10000,3000,9998.059926,49.063411
16,10000,3000,9998.059926,45.322141
16,10000,3000,9998.059926,39.775559
16,10000,3000,9998.059926,49.250394
16,10000,3000,9998.059926,45.566508
16,10000,3000,9998.059926,40.006918
16,10000,3000,9998.059926,48.932478
16,10000,3000,9998.059926,46.956272
16,10000,3000,9998.059926,42.678422
16,10000,3000,9998.059926,49.043645
16,10000,3000,9998.059926,44.794798
16,10000,3000,9998.059926,41.358549
16,10000,3000,9998.059926,48.371267
16,10000,3000,9998.059926,39.763198
16,10000,3000,9998.059926,33.958801
16,10000,3000,9998.059926,42.492675
16,10000,3000,9998.059926,41.725179
32,10000,3000,9998.059926,17.627886
32,10000,3000,9998.059926,26.674071
32,10000,3000,9998.059926,26.895816
32,10000,3000,9998.059926,26.937831
32,10000,3000,9998.059926,24.546734
32,10000,3000,9998.059926,20.820096
32,10000,3000,9998.059926,26.031938
32,10000,3000,9998.059926,26.202291
32,10000,3000,9998.059926,24.654114
32,10000,3000,9998.059926,23.099562
32,10000,3000,9998.059926,26.544169
32,10000,3000,9998.059926,26.293291
32,10000,3000,9998.059926,25.760175
32,10000,3000,9998.059926,18.512531
32,10000,3000,9998.059926,26.160830
32,10000,3000,9998.059926,26.508528
32,10000,3000,9998.059926,26.646025
32,10000,3000,9998.059926,23.114631
32,10000,3000,9998.059926,21.995469
32,10000,3000,9998.059926,26.072510
32,10000,3000,9998.059926,25.829600
32,10000,3000,9998.059926,26.032779
32,10000,3000,9998.059926,19.711167
32,10000,3000,9998.059926,25.004833
32,10000,3000,9998.059926,26.034411
32,10000,3000,9998.059926,25.904845
32,10000,3000,9998.059926,23.710005
32,10000,3000,9998.059926,21.445645
32,10000,3000,9998.059926,26.164979
32,10000,3000,9998.059926,26.766359
32,10000,3000,9998.059926,24.424521
32,10000,3000,9998.059926,22.738540
32,10000,3000,9998.059926,26.225419
32,10000,3000,9998.059926,25.162009
32,10000,3000,9998.059926,21.663263
32,10000,3000,9998.059926,20.601366
32,10000,3000,9998.059926,21.411112
32,10000,3000,9998.059926,18.156626
32,10000,3000,9998.059926,19.413504
32,10000,3000,9998.059926,26.491512
32,10000,3000,9998.059926,26.534397
32,10000,3000,9998.059926,25.107691
32,10000,3000,9998.059926,22.703668
32,10000,3000,9998.059926,26.311015
32,10000,3000,9998.059926,26.245585
32,10000,3000,9998.059926,22.599884
32,10000,3000,9998.059926,20.888777
32,10000,3000,9998.059926,26.783358
32,10000,3000,9998.059926,26.935941
32,10000,3000,9998.059926,25.112222
64,10000,3000,9998.059926,17.198237
64,10000,3000,9998.059926,17.120910
64,10000,3000,9998.059926,17.419303
64,10000,3000,9998.059926,16.809631
64,10000,3000,9998.059926,17.218282
64,10000,3000,9998.059926,18.430769
64,10000,3000,9998.059926,18.462243
64,10000,3000,9998.059926,17.437085
64,10000,3000,9998.059926,14.157608
64,10000,3000,9998.059926,18.077217
64,10000,3000,9998.059926,18.174881
64,10000,3000,9998.059926,18.258870
64,10000,3000,9998.059926,17.807901
64,10000,3000,9998.059926,15.890917
64,10000,3000,9998.059926,16.987590
64,10000,3000,9998.059926,16.585049
64,10000,3000,9998.059926,17.073963
64,10000,3000,9998.059926,16.531478
64,10000,3000,9998.059926,15.971911
64,10000,3000,9998.059926,16.916152
64,10000,3000,9998.059926,16.343515
64,10000,3000,9998.059926,15.694652
64,10000,3000,9998.059926,12.172933
64,10000,3000,9998.059926,10.627834
64,10000,3000,9998.059926,15.125214
64,10000,3000,9998.059926,16.592301
64,10000,3000,9998.059926,16.712574
64,10000,3000,9998.059926,17.066886
64,10000,3000,9998.059926,15.954051
64,10000,3000,9998.059926,17.591171
64,10000,3000,9998.059926,17.953957
64,10000,3000,9998.059926,17.070005
64,10000,3000,9998.059926,15.813272
64,10000,3000,9998.059926,16.692498
64,10000,3000,9998.059926,17.649206
64,10000,3000,9998.059926,18.050987
64,10000,3000,9998.059926,17.456106
64,10000,3000,9998.059926,14.688178
64,10000,3000,9998.059926,16.958570
64,10000,3000,9998.059926,17.870082
64,10000,3000,9998.059926,18.392870
64,10000,3000,9998.059926,16.562757
64,10000,3000,9998.059926,16.874156
64,10000,3000,9998.059926,17.991290
64,10000,3000,9998.059926,16.229793
64,10000,3000,9998.059926,13.693267
64,10000,3000,9998.059926,15.232569
64,10000,3000,9998.059926,15.538974
64,10000,3000,9998.059926,16.450607
64,10000,3000,9998.059926,17.904815
