threads,size,iter,theta,time
1,10000,3000,9998.059926,454.284405
1,10000,3000,9998.059926,447.515499
1,10000,3000,9998.059926,473.197692
1,10000,3000,9998.059926,425.127769
1,10000,3000,9998.059926,470.906285
1,10000,3000,9998.059926,429.903461
1,10000,3000,9998.059926,429.045399
1,10000,3000,9998.059926,470.544539
1,10000,3000,9998.059926,422.695299
1,10000,3000,9998.059926,471.672516
1,10000,3000,9998.059926,462.092354
1,10000,3000,9998.059926,532.209212
1,10000,3000,9998.059926,473.714106
1,10000,3000,9998.059926,541.077199
1,10000,3000,9998.059926,463.765534
1,10000,3000,9998.059926,536.461780
1,10000,3000,9998.059926,470.510115
1,10000,3000,9998.059926,534.341985
1,10000,3000,9998.059926,532.888518
1,10000,3000,9998.059926,481.212638
1,10000,3000,9998.059926,594.529978
1,10000,3000,9998.059926,534.086031
1,10000,3000,9998.059926,546.843214
1,10000,3000,9998.059926,575.568644
1,10000,3000,9998.059926,510.569346
1,10000,3000,9998.059926,581.229822
1,10000,3000,9998.059926,527.733315
1,10000,3000,9998.059926,567.290776
1,10000,3000,9998.059926,579.361670
1,10000,3000,9998.059926,513.416467
1,10000,3000,9998.059926,583.201082
1,10000,3000,9998.059926,579.524928
1,10000,3000,9998.059926,578.374670
1,10000,3000,9998.059926,518.615596
1,10000,3000,9998.059926,580.792082
2,10000,3000,9998.059926,136.540551
2,10000,3000,9998.059926,136.058893
2,10000,3000,9998.059926,135.955724
2,10000,3000,9998.059926,136.011702
2,10000,3000,9998.059926,135.903869
2,10000,3000,9998.059926,135.886858
2,10000,3000,9998.059926,135.968670
2,10000,3000,9998.059926,142.388428
2,10000,3000,9998.059926,136.947038
2,10000,3000,9998.059926,136.275246
2,10000,3000,9998.059926,136.229373
2,10000,3000,9998.059926,136.281453
2,10000,3000,9998.059926,140.135933
2,10000,3000,9998.059926,139.398293
2,10000,3000,9998.059926,135.954889
2,10000,3000,9998.059926,136.174435
2,10000,3000,9998.059926,135.983723
2,10000,3000,9998.059926,136.267836
2,10000,3000,9998.059926,143.356501
2,10000,3000,9998.059926,146.880458
2,10000,3000,9998.059926,141.557973
2,10000,3000,9998.059926,142.888024
2,10000,3000,9998.059926,147.053861
2,10000,3000,9998.059926,146.902026
2,10000,3000,9998.059926,147.145297
2,10000,3000,9998.059926,147.049529
2,10000,3000,9998.059926,146.941958
2,10000,3000,9998.059926,146.947580
2,10000,3000,9998.059926,147.000972
2,10000,3000,9998.059926,147.150988
2,10000,3000,9998.059926,146.917717
2,10000,3000,9998.059926,147.078064
2,10000,3000,9998.059926,147.031592
2,10000,3000,9998.059926,147.076606
2,10000,3000,9998.059926,146.967282
2,10000,3000,9998.059926,147.047110
2,10000,3000,9998.059926,146.923906
2,10000,3000,9998.059926,146.935332
2,10000,3000,9998.059926,147.139649
2,10000,3000,9998.059926,147.310709
2,10000,3000,9998.059926,147.213018
2,10000,3000,9998.059926,146.973468
2,10000,3000,9998.059926,146.876519
2,10000,3000,9998.059926,146.977236
2,10000,3000,9998.059926,146.447229
2,10000,3000,9998.059926,146.423864
2,10000,3000,9998.059926,146.418029
2,10000,3000,9998.059926,146.459038
2,10000,3000,9998.059926,146.319834
2,10000,3000,9998.059926,146.082851
4,10000,3000,9998.059926,75.385677
4,10000,3000,9998.059926,74.348303
4,10000,3000,9998.059926,77.728988
4,10000,3000,9998.059926,75.959786
4,10000,3000,9998.059926,79.351073
4,10000,3000,9998.059926,75.628563
4,10000,3000,9998.059926,71.867972
4,10000,3000,9998.059926,70.917955
4,10000,3000,9998.059926,71.269540
4,10000,3000,9998.059926,71.820041
4,10000,3000,9998.059926,70.849849
4,10000,3000,9998.059926,71.966466
4,10000,3000,9998.059926,71.141081
4,10000,3000,9998.059926,71.115742
4,10000,3000,9998.059926,72.244746
4,10000,3000,9998.059926,71.978232
4,10000,3000,9998.059926,71.133586
4,10000,3000,9998.059926,71.086684
4,10000,3000,9998.059926,71.346152
4,10000,3000,9998.059926,70.569978
4,10000,3000,9998.059926,71.173723
4,10000,3000,9998.059926,70.947885
4,10000,3000,9998.059926,71.139555
4,10000,3000,9998.059926,71.014178
4,10000,3000,9998.059926,71.139407
4,10000,3000,9998.059926,70.526244
4,10000,3000,9998.059926,71.042464
4,10000,3000,9998.059926,70.998691
4,10000,3000,9998.059926,71.001377
4,10000,3000,9998.059926,70.582231
4,10000,3000,9998.059926,71.675684
4,10000,3000,9998.059926,70.788745
4,10000,3000,9998.059926,70.892440
4,10000,3000,9998.059926,71.808680
4,10000,3000,9998.059926,70.821100
4,10000,3000,9998.059926,70.975297
4,10000,3000,9998.059926,71.286269
4,10000,3000,9998.059926,71.995936
4,10000,3000,9998.059926,72.110719
4,10000,3000,9998.059926,72.614264
4,10000,3000,9998.059926,73.373169
4,10000,3000,9998.059926,74.153268
4,10000,3000,9998.059926,73.475282
4,10000,3000,9998.059926,71.786872
4,10000,3000,9998.059926,74.045311
4,10000,3000,9998.059926,75.538537
4,10000,3000,9998.059926,75.848222
4,10000,3000,9998.059926,74.595945
4,10000,3000,9998.059926,74.669385
4,10000,3000,9998.059926,77.083856
8,10000,3000,9998.059926,41.903096
8,10000,3000,9998.059926,40.911590
8,10000,3000,9998.059926,40.027433
8,10000,3000,9998.059926,41.801036
8,10000,3000,9998.059926,38.710170
8,10000,3000,9998.059926,38.838922
8,10000,3000,9998.059926,39.962941
8,10000,3000,9998.059926,41.717395
8,10000,3000,9998.059926,40.977716
8,10000,3000,9998.059926,40.031816
8,10000,3000,9998.059926,39.962578
8,10000,3000,9998.059926,40.764838
8,10000,3000,9998.059926,40.007030
8,10000,3000,9998.059926,40.904439
8,10000,3000,9998.059926,40.725516
8,10000,3000,9998.059926,40.008936
8,10000,3000,9998.059926,40.147210
8,10000,3000,9998.059926,41.439403
8,10000,3000,9998.059926,40.796755
8,10000,3000,9998.059926,41.433912
8,10000,3000,9998.059926,39.862790
8,10000,3000,9998.059926,40.142553
8,10000,3000,9998.059926,40.357108
8,10000,3000,9998.059926,40.086937
8,10000,3000,9998.059926,42.556524
8,10000,3000,9998.059926,46.943604
8,10000,3000,9998.059926,42.542409
8,10000,3000,9998.059926,40.588929
8,10000,3000,9998.059926,40.737805
8,10000,3000,9998.059926,40.701561
8,10000,3000,9998.059926,40.594806
8,10000,3000,9998.059926,40.221497
8,10000,3000,9998.059926,40.166262
8,10000,3000,9998.059926,46.013131
8,10000,3000,9998.059926,40.718244
8,10000,3000,9998.059926,40.480097
8,10000,3000,9998.059926,40.887001
8,10000,3000,9998.059926,40.055360
8,10000,3000,9998.059926,40.438676
8,10000,3000,9998.059926,41.552727
8,10000,3000,9998.059926,38.993921
8,10000,3000,9998.059926,40.051753
8,10000,3000,9998.059926,39.848242
8,10000,3000,9998.059926,40.213311
8,10000,3000,9998.059926,42.813832
8,10000,3000,9998.059926,40.220358
8,10000,3000,9998.059926,39.021770
8,10000,3000,9998.059926,38.331548
8,10000,3000,9998.059926,38.781041
8,10000,3000,9998.059926,42.297741
16,10000,3000,9998.059926,28.239611
16,10000,3000,9998.059926,22.848283
16,10000,3000,9998.059926,30.177624
16,10000,3000,9998.059926,26.120414
16,10000,3000,9998.059926,29.269744
16,10000,3000,9998.059926,28.161581
16,10000,3000,9998.059926,28.796289
16,10000,3000,9998.059926,29.103752
16,10000,3000,9998.059926,26.775338
16,10000,3000,9998.059926,26.660871
16,10000,3000,9998.059926,27.908588
16,10000,3000,9998.059926,29.076078
16,10000,3000,9998.059926,30.041075
16,10000,3000,9998.059926,28.069476
16,10000,3000,9998.059926,30.535628
16,10000,3000,9998.059926,27.623915
16,10000,3000,9998.059926,29.792400
16,10000,3000,9998.059926,28.858668
16,10000,3000,9998.059926,28.905075
16,10000,3000,9998.059926,31.223163
16,10000,3000,9998.059926,25.918266
16,10000,3000,9998.059926,27.732339
16,10000,3000,9998.059926,29.664297
16,10000,3000,9998.059926,27.729888
16,10000,3000,9998.059926,28.820263
16,10000,3000,9998.059926,29.701587
16,10000,3000,9998.059926,27.645523
16,10000,3000,9998.059926,30.329479
16,10000,3000,9998.059926,23.574447
16,10000,3000,9998.059926,27.908371
16,10000,3000,9998.059926,20.918641
16,10000,3000,9998.059926,24.997549
16,10000,3000,9998.059926,26.774362
16,10000,3000,9998.059926,26.602454
16,10000,3000,9998.059926,28.410856
16,10000,3000,9998.059926,23.216948
