threads,size,iter,theta,time
1,1500,3000,1499.851999,6.340750
1,1500,3000,1499.851999,6.160878
1,1500,3000,1499.851999,6.319423
1,1500,3000,1499.851999,6.271430
1,1500,3000,1499.851999,6.293205
1,1500,3000,1499.851999,6.247417
1,1500,3000,1499.851999,6.286397
1,1500,3000,1499.851999,6.262029
1,1500,3000,1499.851999,6.287599
1,1500,3000,1499.851999,6.285495
1,1500,3000,1499.851999,6.274926
1,1500,3000,1499.851999,6.347720
1,1500,3000,1499.851999,6.179372
1,1500,3000,1499.851999,6.295985
1,1500,3000,1499.851999,6.273854
1,1500,3000,1499.851999,6.336771
1,1500,3000,1499.851999,6.236742
1,1500,3000,1499.851999,6.319834
1,1500,3000,1499.851999,6.273314
1,1500,3000,1499.851999,6.315456
1,1500,3000,1499.851999,6.264350
1,1500,3000,1499.851999,6.301504
1,1500,3000,1499.851999,6.285646
1,1500,3000,1499.851999,6.294086
1,1500,3000,1499.851999,6.228896
1,1500,3000,1499.851999,6.297868
1,1500,3000,1499.851999,6.278755
1,1500,3000,1499.851999,6.285172
1,1500,3000,1499.851999,6.263619
1,1500,3000,1499.851999,6.257898
1,1500,3000,1499.851999,6.292034
1,1500,3000,1499.851999,6.273550
1,1500,3000,1499.851999,6.305966
1,1500,3000,1499.851999,6.289303
1,1500,3000,1499.851999,6.387911
1,1500,3000,1499.851999,6.203707
1,1500,3000,1499.851999,6.312691
1,1500,3000,1499.851999,6.307054
1,1500,3000,1499.851999,6.302099
1,1500,3000,1499.851999,6.245535
1,1500,3000,1499.851999,6.338380
1,1500,3000,1499.851999,6.343717
1,1500,3000,1499.851999,6.297758
1,1500,3000,1499.851999,6.268082
1,1500,3000,1499.851999,6.308884
1,1500,3000,1499.851999,6.243088
1,1500,3000,1499.851999,6.308877
1,1500,3000,1499.851999,6.216076
1,1500,3000,1499.851999,6.298533
1,1500,3000,1499.851999,6.319299
2,1500,3000,1499.851999,3.411464
2,1500,3000,1499.851999,3.202657
2,1500,3000,1499.851999,3.254183
2,1500,3000,1499.851999,3.275643
2,1500,3000,1499.851999,3.167884
2,1500,3000,1499.851999,3.179084
2,1500,3000,1499.851999,3.200303
2,1500,3000,1499.851999,3.238970
2,1500,3000,1499.851999,3.256680
2,1500,3000,1499.851999,3.417828
2,1500,3000,1499.851999,3.194067
2,1500,3000,1499.851999,3.253760
2,1500,3000,1499.851999,3.166243
2,1500,3000,1499.851999,3.416512
2,1500,3000,1499.851999,3.368327
2,1500,3000,1499.851999,3.194688
2,1500,3000,1499.851999,3.304033
2,1500,3000,1499.851999,3.149295
2,1500,3000,1499.851999,3.232360
2,1500,3000,1499.851999,3.251717
2,1500,3000,1499.851999,3.401424
2,1500,3000,1499.851999,3.390293
2,1500,3000,1499.851999,3.181151
2,1500,3000,1499.851999,3.251372
2,1500,3000,1499.851999,3.184649
2,1500,3000,1499.851999,3.264096
2,1500,3000,1499.851999,3.164885
2,1500,3000,1499.851999,3.375352
2,1500,3000,1499.851999,3.415172
2,1500,3000,1499.851999,3.237123
2,1500,3000,1499.851999,3.218746
2,1500,3000,1499.851999,3.218972
2,1500,3000,1499.851999,3.216159
2,1500,3000,1499.851999,3.217563
2,1500,3000,1499.851999,3.531233
2,1500,3000,1499.851999,3.197146
2,1500,3000,1499.851999,3.201551
2,1500,3000,1499.851999,3.230451
2,1500,3000,1499.851999,3.221859
2,1500,3000,1499.851999,3.265668
2,1500,3000,1499.851999,3.184029
2,1500,3000,1499.851999,3.435759
2,1500,3000,1499.851999,3.165890
2,1500,3000,1499.851999,3.277004
2,1500,3000,1499.851999,3.172779
2,1500,3000,1499.851999,3.189095
2,1500,3000,1499.851999,3.257742
2,1500,3000,1499.851999,3.171168
2,1500,3000,1499.851999,3.425081
2,1500,3000,1499.851999,3.227696
4,3000,3000,2999.987811,6.528234
4,3000,3000,2999.987811,6.359018
4,3000,3000,2999.987811,6.457408
4,3000,3000,2999.987811,6.396180
4,3000,3000,2999.987811,6.422431
4,3000,3000,2999.987811,6.403162
4,3000,3000,2999.987811,6.539163
4,3000,3000,2999.987811,6.377653
4,3000,3000,2999.987811,6.416899
4,3000,3000,2999.987811,6.412841
4,3000,3000,2999.987811,6.410375
4,3000,3000,2999.987811,6.461856
4,3000,3000,2999.987811,6.389062
4,3000,3000,2999.987811,6.384544
4,3000,3000,2999.987811,6.475017
4,3000,3000,2999.987811,6.380743
4,3000,3000,2999.987811,6.528501
4,3000,3000,2999.987811,6.339384
4,3000,3000,2999.987811,6.502706
4,3000,3000,2999.987811,6.362661
4,3000,3000,2999.987811,6.409147
4,3000,3000,2999.987811,6.407005
4,3000,3000,2999.987811,6.356506
4,3000,3000,2999.987811,6.463354
4,3000,3000,2999.987811,6.362877
4,3000,3000,2999.987811,6.395643
4,3000,3000,2999.987811,6.444613
4,3000,3000,2999.987811,6.410687
4,3000,3000,2999.987811,6.431698
4,3000,3000,2999.987811,6.348280
4,3000,3000,2999.987811,6.443288
4,3000,3000,2999.987811,6.377399
4,3000,3000,2999.987811,6.436251
4,3000,3000,2999.987811,6.413418
4,3000,3000,2999.987811,6.405471
4,3000,3000,2999.987811,6.385454
4,3000,3000,2999.987811,6.437180
4,3000,3000,2999.987811,6.508694
4,3000,3000,2999.987811,6.262086
4,3000,3000,2999.987811,6.431841
4,3000,3000,2999.987811,6.365369
4,3000,3000,2999.987811,6.671433
4,3000,3000,2999.987811,6.356718
4,3000,3000,2999.987811,6.346642
4,3000,3000,2999.987811,6.473281
4,3000,3000,2999.987811,6.462360
4,3000,3000,2999.987811,6.389042
4,3000,3000,2999.987811,6.411463
4,3000,3000,2999.987811,6.368332
4,3000,3000,2999.987811,6.471781
8,3000,3000,2999.987811,3.756408
8,3000,3000,2999.987811,3.544319
8,3000,3000,2999.987811,3.447373
8,3000,3000,2999.987811,3.646085
8,3000,3000,2999.987811,3.564763
8,3000,3000,2999.987811,3.547234
8,3000,3000,2999.987811,3.769072
8,3000,3000,2999.987811,3.515593
8,3000,3000,2999.987811,3.585424
8,3000,3000,2999.987811,3.753784
8,3000,3000,2999.987811,3.380035
8,3000,3000,2999.987811,3.488784
8,3000,3000,2999.987811,3.740540
8,3000,3000,2999.987811,3.551853
8,3000,3000,2999.987811,3.543755
8,3000,3000,2999.987811,3.756983
8,3000,3000,2999.987811,3.538349
8,3000,3000,2999.987811,3.548810
8,3000,3000,2999.987811,3.701284
8,3000,3000,2999.987811,3.532107
8,3000,3000,2999.987811,3.564265
8,3000,3000,2999.987811,3.578665
8,3000,3000,2999.987811,3.588997
8,3000,3000,2999.987811,3.453140
8,3000,3000,2999.987811,3.608477
8,3000,3000,2999.987811,3.601700
8,3000,3000,2999.987811,3.595447
8,3000,3000,2999.987811,3.629974
8,3000,3000,2999.987811,3.596068
8,3000,3000,2999.987811,3.539611
8,3000,3000,2999.987811,3.693733
8,3000,3000,2999.987811,3.501413
8,3000,3000,2999.987811,3.448213
8,3000,3000,2999.987811,3.740420
8,3000,3000,2999.987811,3.490918
